index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 3, 3, 2, 2, 2, 2, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 1, 3, 2, 1, 5, 3, 9, 10, 13, 16, 19, 28, 32, 39, 43, 51, 48, 51, 46, 46, 45, 45, 42, 35, 37, 29, 25, 27, 22, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd17active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 3, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 4, 3, 4, 7, 9, 8, 14, 16, 20, 27, 28, 31, 37, 41, 34, 36, 35, 36, 33, 35, 24, 21, 24, 25, 19, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 3, 3, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 3, 5, 8, 12, 15, 18, 25, 31, 40, 47, 46, 49, 60, 59, 52, 41, 42, 44, 30, 33, 29, 22, 18, 22, 15, 15, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 4, 4, 6, 11, 12, 13, 16, 18, 25, 23, 30, 30, 34, 30, 36, 33, 41, 38, 43, 41, 45, 42, 40, 44, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 1, 3, 3, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 3, 4, 5, 8, 13, 17, 17, 28, 32, 32, 43, 40, 40, 45, 41, 37, 35, 29, 28, 22, 27, 22, 18, 17, 22, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
ve70vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 4, 6, 5, 9, 10, 12, 19, 25, 25, 35, 41, 40, 44, 52, 46, 50, 43, 44, 46, 41, 36, 36, 34, 29, 32, 24, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 4, 4, 4, 5, 9, 9, 17, 20, 27, 33, 37, 47, 48, 54, 53, 57, 55, 49, 47, 39, 36, 31, 35, 28, 23, 19, 21, 18, 16, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 2, 2, 3, 5, 7, 9, 11, 11, 13, 16, 19, 20, 28, 27, 23, 30, 28, 27, 26, 30, 23, 25, 24, 25, 22, 21, 19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 3, 3, 2, 2, 2, 2, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 1, 3, 2, 1, 5, 3, 9, 10, 13, 16, 19, 28, 32, 39, 43, 51, 48, 51, 46, 46, 45, 45, 42, 35, 37, 29, 25, 27, 22, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 3, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 4, 3, 4, 7, 9, 8, 14, 16, 20, 27, 28, 31, 37, 41, 34, 36, 35, 36, 33, 35, 24, 21, 24, 25, 19, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 3, 3, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 3, 5, 8, 12, 15, 18, 25, 31, 40, 47, 46, 49, 60, 59, 52, 41, 42, 44, 30, 33, 29, 22, 18, 22, 15, 15, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 1, 2, 1, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 2, 1, 1, 2, 2, 3, 6, 5, 7, 9, 11, 15, 20, 23, 29, 32, 37, 42, 40, 44, 41, 40, 41, 45, 44, 35, 27, 31, 22, 25, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 3, 1, 2, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 4, 4, 6, 8, 10, 13, 18, 26, 30, 33, 39, 43, 45, 47, 51, 52, 44, 43, 40, 42, 30, 28, 30, 23, 19, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 2, 2, 4, 6, 8, 7, 12, 14, 16, 20, 27, 25, 30, 35, 34, 37, 34, 37, 31, 28, 30, 32, 26, 22, 25, 25, 17, 16, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
