index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 4, 4, 3, 4, 4, 5, 4, 5, 5, 8, 12, 14, 22, 26, 35, 62, 82, 99, 155, 194, 244, 293, 322, 342, 347, 331, 293, 283, 244, 244, 235, 236, 217, 215, 173, 176, 151, 142, 146, 140, 144, 151, 162, 182, 205, 213, 20, 22, 21, 18, 16, 11, 7, 6, 4, 
ve70vtd17active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 3, 4, 5, 5, 4, 6, 5, 7, 9, 9, 13, 18, 22, 23, 42, 40, 68, 91, 114, 141, 176, 218, 234, 266, 295, 313, 328, 353, 344, 376, 367, 374, 359, 327, 295, 262, 251, 204, 192, 161, 161, 149, 134, 133, 132, 133, 25, 26, 19, 22, 20, 11, 11, 7, 6, 
ve70vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 3, 3, 5, 4, 3, 5, 7, 9, 7, 13, 19, 25, 33, 56, 72, 99, 127, 160, 193, 234, 281, 298, 319, 335, 321, 319, 296, 282, 271, 258, 244, 222, 181, 166, 145, 131, 124, 111, 103, 99, 98, 92, 94, 101, 16, 17, 15, 15, 12, 9, 6, 5, 3, 
ve30vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 5, 5, 5, 5, 6, 6, 13, 9, 17, 21, 33, 36, 60, 85, 114, 144, 212, 245, 297, 335, 342, 346, 305, 289, 257, 233, 223, 208, 211, 215, 216, 217, 193, 191, 174, 160, 148, 154, 155, 150, 166, 180, 192, 220, 29, 27, 30, 26, 19, 16, 12, 8, 5, 
ve30vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 7, 5, 9, 15, 15, 25, 34, 44, 66, 91, 118, 151, 204, 243, 280, 331, 358, 387, 439, 446, 461, 424, 427, 384, 349, 314, 284, 246, 233, 210, 181, 181, 173, 176, 173, 25, 28, 29, 21, 18, 13, 8, 6, 6, 
ve70vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 2, 3, 5, 3, 3, 4, 5, 5, 5, 10, 10, 16, 17, 24, 32, 42, 59, 88, 115, 141, 184, 210, 239, 265, 261, 254, 291, 267, 272, 282, 268, 314, 314, 365, 364, 364, 349, 325, 271, 239, 221, 199, 175, 167, 166, 16, 21, 23, 17, 16, 11, 7, 6, 4, 
ve70vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 5, 3, 4, 3, 5, 5, 4, 3, 8, 9, 11, 13, 20, 24, 42, 59, 62, 107, 137, 187, 224, 271, 312, 335, 364, 387, 393, 396, 376, 380, 369, 363, 325, 300, 259, 241, 203, 170, 155, 156, 137, 137, 136, 131, 125, 135, 20, 24, 24, 22, 13, 11, 7, 6, 5, 
ve30vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 4, 3, 3, 4, 4, 5, 7, 10, 11, 13, 23, 35, 38, 58, 94, 112, 163, 207, 258, 309, 344, 375, 394, 401, 373, 361, 311, 283, 270, 235, 230, 216, 209, 218, 217, 208, 218, 208, 184, 180, 166, 160, 160, 157, 159, 25, 27, 23, 24, 18, 15, 11, 6, 7, 
ve30vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 4, 4, 3, 4, 4, 5, 4, 5, 5, 8, 12, 14, 22, 26, 35, 62, 82, 99, 155, 194, 244, 293, 322, 342, 347, 331, 293, 283, 244, 244, 235, 236, 217, 215, 173, 176, 151, 142, 146, 140, 144, 151, 162, 182, 205, 213, 20, 22, 21, 18, 16, 11, 7, 6, 4, 
ve70vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 3, 4, 5, 5, 4, 6, 5, 7, 9, 9, 13, 18, 22, 23, 42, 40, 68, 91, 114, 141, 176, 218, 234, 266, 295, 313, 328, 353, 344, 376, 367, 374, 359, 327, 295, 262, 251, 204, 192, 161, 161, 149, 134, 133, 132, 133, 25, 26, 19, 22, 20, 11, 11, 7, 6, 
ve70vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 3, 3, 5, 4, 3, 5, 7, 9, 7, 13, 19, 25, 33, 56, 72, 99, 127, 160, 193, 234, 281, 298, 319, 335, 321, 319, 296, 282, 271, 258, 244, 222, 181, 166, 145, 131, 124, 111, 103, 99, 98, 92, 94, 101, 16, 17, 15, 15, 12, 9, 6, 5, 3, 
ve30vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 5, 5, 3, 5, 3, 8, 7, 5, 8, 7, 11, 14, 21, 25, 38, 56, 71, 98, 146, 182, 230, 296, 361, 399, 440, 443, 456, 433, 388, 361, 348, 306, 287, 240, 212, 190, 168, 155, 139, 126, 134, 129, 133, 115, 124, 130, 20, 22, 23, 21, 16, 8, 7, 6, 3, 
ve30vtd38active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 4, 4, 3, 3, 5, 4, 5, 7, 12, 14, 14, 18, 35, 49, 62, 75, 108, 145, 213, 243, 300, 343, 351, 390, 379, 380, 392, 406, 406, 392, 373, 319, 297, 242, 221, 187, 178, 163, 143, 149, 143, 134, 134, 141, 143, 25, 28, 27, 27, 15, 12, 12, 10, 7, 
ve70vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 5, 5, 4, 6, 6, 5, 5, 8, 7, 12, 11, 17, 25, 28, 37, 50, 75, 89, 121, 157, 189, 256, 305, 332, 375, 416, 455, 443, 438, 407, 393, 348, 296, 261, 220, 208, 170, 166, 153, 158, 135, 136, 139, 134, 143, 144, 142, 29, 29, 32, 24, 22, 12, 10, 6, 5, 
ve70vtd38active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 5, 4, 4, 5, 5, 5, 5, 4, 9, 6, 9, 12, 14, 19, 28, 32, 54, 66, 91, 130, 184, 225, 282, 337, 364, 394, 394, 408, 391, 412, 390, 409, 370, 327, 292, 228, 196, 181, 157, 140, 140, 125, 129, 121, 121, 112, 119, 24, 19, 22, 18, 11, 8, 7, 6, 5, 
ve30vtd17allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 4, 4, 7, 7, 7, 7, 10, 14, 19, 22, 26, 39, 57, 84, 90, 131, 184, 231, 275, 322, 375, 401, 450, 478, 496, 466, 430, 406, 338, 300, 261, 223, 197, 177, 176, 159, 159, 151, 153, 149, 155, 154, 170, 169, 171, 32, 32, 36, 30, 20, 17, 11, 8, 10, 
ve30vtd38allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 5, 3, 3, 3, 2, 4, 7, 6, 7, 13, 17, 24, 28, 41, 63, 93, 129, 160, 237, 308, 382, 468, 513, 558, 557, 523, 453, 391, 324, 295, 237, 216, 183, 172, 163, 157, 144, 140, 147, 145, 148, 154, 157, 157, 173, 30, 39, 28, 25, 22, 16, 13, 10, 6, 
ve70vtd17allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 4, 4, 5, 7, 6, 4, 5, 7, 10, 7, 13, 23, 22, 39, 43, 63, 82, 116, 161, 224, 267, 345, 382, 455, 488, 522, 500, 452, 453, 394, 338, 295, 263, 223, 201, 180, 162, 157, 153, 153, 138, 158, 148, 154, 147, 154, 27, 30, 29, 22, 19, 11, 10, 7, 6, 
ve70vtd38allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 3, 4, 5, 5, 4, 5, 7, 9, 12, 18, 23, 32, 51, 74, 94, 125, 180, 245, 334, 401, 465, 551, 535, 551, 507, 445, 367, 323, 271, 239, 196, 190, 159, 154, 139, 146, 140, 128, 114, 128, 129, 121, 141, 134, 154, 155, 25, 28, 27, 25, 18, 15, 7, 9, 7, 
ve30vtd17milworkers/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 5, 5, 3, 5, 3, 8, 7, 5, 8, 7, 11, 14, 21, 25, 38, 56, 71, 98, 146, 182, 230, 296, 361, 399, 440, 443, 456, 433, 388, 361, 348, 306, 287, 240, 212, 190, 168, 155, 139, 126, 134, 129, 133, 115, 124, 130, 20, 22, 23, 21, 16, 8, 7, 6, 3, 
ve30vtd38milworkers/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 4, 4, 3, 3, 5, 4, 5, 7, 12, 14, 14, 18, 35, 49, 62, 75, 108, 145, 213, 243, 300, 343, 351, 390, 379, 380, 392, 406, 406, 392, 373, 319, 297, 242, 221, 187, 178, 163, 143, 149, 143, 134, 134, 141, 143, 25, 28, 27, 27, 15, 12, 12, 10, 7, 
