index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 5, 5, 4, 5, 6, 6, 8, 13, 21, 27, 32, 49, 59, 98, 132, 147, 212, 248, 272, 300, 319, 322, 317, 323, 338, 329, 346, 332, 323, 321, 297, 264, 231, 190, 162, 142, 123, 101, 92, 78, 77, 66, 55, 57, 49, 2, 1, 1, 0, 1, 1, 0, 0, 0, 
ve70vtd17active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 2, 1, 4, 2, 1, 2, 2, 3, 3, 4, 4, 5, 7, 11, 15, 14, 22, 32, 45, 58, 81, 113, 144, 192, 245, 309, 366, 401, 432, 423, 428, 418, 376, 357, 308, 264, 228, 183, 168, 133, 108, 100, 95, 73, 65, 62, 55, 54, 1, 2, 1, 1, 1, 1, 0, 0, 0, 
ve70vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 4, 2, 3, 2, 4, 3, 2, 4, 5, 7, 7, 11, 18, 20, 25, 38, 53, 79, 114, 152, 206, 275, 346, 428, 475, 518, 538, 510, 450, 410, 340, 291, 238, 210, 167, 139, 131, 105, 83, 79, 72, 66, 58, 49, 49, 47, 2, 2, 2, 1, 1, 1, 0, 0, 0, 
ve30vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 3, 3, 4, 3, 2, 5, 5, 5, 6, 11, 15, 21, 25, 39, 55, 82, 102, 144, 188, 240, 315, 342, 397, 393, 413, 391, 371, 317, 301, 289, 273, 282, 240, 239, 228, 194, 155, 140, 126, 116, 105, 91, 78, 65, 62, 66, 1, 2, 1, 1, 1, 0, 0, 0, 0, 
ve30vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 4, 4, 3, 4, 2, 7, 8, 6, 12, 15, 21, 28, 42, 71, 81, 120, 154, 229, 323, 355, 421, 489, 477, 483, 444, 397, 364, 350, 301, 261, 217, 198, 166, 137, 117, 109, 98, 90, 86, 74, 66, 63, 61, 56, 49, 51, 2, 2, 1, 1, 2, 2, 1, 0, 0, 
ve70vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 5, 3, 4, 4, 4, 6, 10, 9, 15, 26, 30, 35, 58, 84, 108, 150, 191, 286, 321, 378, 432, 425, 400, 337, 292, 252, 208, 164, 136, 121, 99, 88, 79, 68, 60, 65, 63, 58, 56, 66, 61, 68, 84, 97, 1, 2, 3, 3, 3, 1, 1, 1, 0, 
ve70vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 2, 4, 5, 4, 3, 4, 5, 4, 6, 10, 9, 12, 16, 28, 32, 47, 63, 108, 128, 166, 226, 288, 335, 375, 411, 431, 446, 463, 443, 411, 360, 314, 282, 234, 198, 155, 133, 117, 102, 82, 87, 77, 67, 64, 63, 59, 56, 50, 2, 1, 2, 0, 1, 1, 0, 0, 1, 
ve30vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 3, 4, 3, 4, 3, 5, 5, 6, 6, 10, 15, 17, 31, 40, 50, 79, 115, 137, 200, 253, 318, 374, 419, 448, 456, 466, 416, 385, 361, 330, 286, 232, 206, 166, 141, 123, 110, 94, 80, 75, 75, 64, 59, 60, 52, 52, 2, 2, 2, 1, 1, 0, 1, 0, 0, 
ve30vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 5, 5, 4, 5, 6, 6, 8, 13, 21, 27, 32, 49, 59, 98, 132, 147, 212, 248, 272, 300, 319, 322, 317, 323, 338, 329, 346, 332, 323, 321, 297, 264, 231, 190, 162, 142, 123, 101, 92, 78, 77, 66, 55, 57, 49, 2, 1, 1, 0, 1, 1, 0, 0, 0, 
ve70vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 2, 1, 4, 2, 1, 2, 2, 3, 3, 4, 4, 5, 7, 11, 15, 14, 22, 32, 45, 58, 81, 113, 144, 192, 245, 309, 366, 401, 432, 423, 428, 418, 376, 357, 308, 264, 228, 183, 168, 133, 108, 100, 95, 73, 65, 62, 55, 54, 1, 2, 1, 1, 1, 1, 0, 0, 0, 
